name,primary_type,address,website_url,reviews,rating,business_status,processed
"Wei Asian Café","chinese_restaurant","9450 E Golf Links Rd #102, Tucson, AZ 85730, USA","https://www.weiasiancafe.com/",403,4.3,"OPERATIONAL",
"Viva Burrito Co.","mexican_restaurant","8685 E Broadway Blvd, Tucson, AZ 85710, USA","https://vivaburritoco.com/",401,3.1,"OPERATIONAL",
"Louie's Pub","bar","746 E Fort Lowell Rd, Tucson, AZ 85719, USA","https://voltd.top/louie-s-pub",401,4.5,"OPERATIONAL",
"Samurai","japanese_restaurant","3912 N Oracle Rd #100, Tucson, AZ 85705, USA","https://www.samuraitucsonaz.com/",398,4.4,"OPERATIONAL",
"The Maverick King of Clubs","live_music_venue","6622 E Tanque Verde Rd, Tucson, AZ 85715, USA","https://www.tucsonmaverick.com/",398,4.1,"OPERATIONAL",linked
"TACO STOP Llc CALL FIRST MOVING","mexican_restaurant","15 S Harrison Rd, Tucson, AZ 85748, USA","https://www.tacostopaz.com/",396,4.5,"OPERATIONAL",
"Marco's Pizza","pizza_restaurant","13370 E Mary Ann Cleveland Way #114, Vail, AZ 85641, USA","https://www.marcos.com/",395,4.2,"OPERATIONAL",
"Forbes Meat Company","restaurant","747 S 6th Ave, Tucson, AZ 85701, USA","https://forbesmeatcompany.com/",395,4.6,"OPERATIONAL",linked
"Casa Film Bar","bar","2905 E Speedway Blvd, Tucson, AZ 85716, USA","http://www.casafilmbar.com/",394,4.8,"OPERATIONAL",
"Mint Bar","bar","3540 E Grant Rd, Tucson, AZ 85716, USA","http://www.facebook.com/mintbartucson",394,4.3,"OPERATIONAL",linked
"Pure Poke and Prep","restaurant","6501 E Grant Rd UNIT 121, Tucson, AZ 85715, USA","http://purepokeprep.com/",392,4.6,"OPERATIONAL",
"Wings on Fire","chicken_wings_restaurant","9040 E Valencia Rd #100, Tucson, AZ 85747, USA",,389,4.6,"OPERATIONAL",
"Kintaro Sushi and Hibachi","asian_restaurant","5975 E Speedway Blvd, Tucson, AZ 85712, USA","https://kintarotucson.com/",384,4.1,"OPERATIONAL",
