name,primary_type,address,website_url,reviews,rating,business_status,processed
"NARROWS GYRO","mediterranean_restaurant","6603 6th Ave, Tacoma, WA 98406, USA","https://www.narrowsgyro.com/",388,4.6,"OPERATIONAL",
"Wok Teriyaki IX","restaurant","2941 S 38th St, Tacoma, WA 98409, USA",,385,4.2,"OPERATIONAL",
"Fergie's On the Ave","bar","3504 E McKinley Ave, Tacoma, WA 98404, USA","https://m.facebook.com/Fergies-On-The-Ave-111578872216128/",383,4.0,"OPERATIONAL",
"My Philly","american_restaurant","4314 Portland Ave E, Tacoma, WA 98404, USA","https://myphillytacoma.net/",383,4.6,"OPERATIONAL",
"Bento Teriyaki & Sushi","japanese_restaurant","3201 6th Ave, Tacoma, WA 98406, USA","http://www.bentoteriyakisushi.com/",377,4.4,"OPERATIONAL",
"Teriyaki Kitchen","restaurant","101 S 38th St #107, Tacoma, WA 98418, USA",,374,4.4,"OPERATIONAL",
"Papa Murphy's | Take 'N' Bake Pizza","pizza_restaurant","2315 N Pearl St A4, Tacoma, WA 98407, USA","https://locations.papamurphys.com/wa/tacoma/2315-north-pearl-street?utm_source=organic&utm_medium=gmb&utm_campaign=yext&y_source=1_MTU0MzA4OTktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D",370,4.6,"OPERATIONAL",
"The Mule Tavern","bar","5227 S Tacoma Way, Tacoma, WA 98409, USA","http://www.themuletavern.com/",365,4.6,"OPERATIONAL",
"Toast Mi Tacoma","vietnamese_restaurant","2602 N Proctor St Suite D, Tacoma, WA 98407, USA","https://www.toastmi.com/",364,4.7,"OPERATIONAL",
"Sake Sushi + Grill","japanese_restaurant","5738 N 26th St STE 5A, Tacoma, WA 98407, USA","https://sakesushigrilltacoma.com/?utm_source=google",362,4.5,"OPERATIONAL",
"Hans's Place","bar","6405 S Tacoma Way, Tacoma, WA 98409, USA","https://hanssplacetacoma.com/",360,4.4,"OPERATIONAL",
"Nari Sushi & Steak","sushi_restaurant","2009 Mildred St W, Tacoma, WA 98466, USA","https://narisushiandsteak.my.canva.site/menu",357,4.6,"OPERATIONAL",
"56th Teriyaki","asian_restaurant","5013 S 56th St Apt E, Tacoma, WA 98409, USA","http://www.facebook.com/pages/56th-Teriyaki/132884496859772",344,4.7,"OPERATIONAL",
"Thyme Well Spent Cafe","restaurant","5608 Park Ave. S, Tacoma, WA 98408, USA","https://www.thymewellspentinc.com/",336,5.0,"OPERATIONAL",
"Red Gem","chinese_restaurant","6643 S Tacoma Way, Tacoma, WA 98409, USA",,329,3.8,"OPERATIONAL",
"Tortas Locas LLC","mexican_restaurant","5420 S Tacoma Way, Tacoma, WA 98409, USA","https://tortaslocastacomawa.com/",327,4.0,"OPERATIONAL",
"DND Soul Cuisine","soul_food_restaurant","308 E 26th St, Tacoma, WA 98421, USA",,326,4.6,"OPERATIONAL",
"Vecindad Mexican Restaurant","mexican_restaurant","6210 29th St NE, Tacoma, WA 98422, USA","https://vecindaddeseattle.com/",316,4.4,"OPERATIONAL",
"Unicorn Sports Bar","bar","5302 N 49th St, Ruston, WA 98407, USA","https://m.facebook.com/Unicorn-Sports-Bar-141805512526549/",314,4.2,"OPERATIONAL",
"Red Dragon Teriyaki Restaurant","chinese_restaurant","7034 Pacific Ave, Tacoma, WA 98408, USA",,311,4.1,"OPERATIONAL",
"Mama's Teriyaki","japanese_restaurant","3814 Pacific Ave #104, Tacoma, WA 98418, USA",,309,4.5,"OPERATIONAL",
"Magoo's Annex","bar","2710 N 21st St, Tacoma, WA 98406, USA","https://m.facebook.com/pages/Magoos/227313433999721",301,4.5,"OPERATIONAL",
"Wok V Teriyaki","asian_restaurant","1816 S Mildred St B, Tacoma, WA 98465, USA",,298,4.2,"OPERATIONAL",
