city,action,venue,primary_type,reviews,website,reason
"san-francisco",hide,"Zushi Puzzle",japanese_restaurant,480,"http://www.zushipuzzle.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Blind Butcher",american_restaurant,478,"https://blindbutcher.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Good Good Culture Club",restaurant,471,"http://ggccsf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Pasta Supply Co",italian_restaurant,469,"https://www.pastasupplyco.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"XICA",mexican_restaurant,468,"http://www.xicasf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"The Little Chihuahua",mexican_restaurant,467,"http://thelittlechihuahua.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Serrano's Pizza and Pasta",pizza_restaurant,466,"https://order.online/store/-4036?hideModal=true","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Kirimachi Ramen",ramen_restaurant,465,"https://kirimachi.square.site/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Wago Sushi",japanese_restaurant,462,"https://www.wagosushi.net/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Hinata",sushi_restaurant,461,"http://www.hinatasf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Omakase",japanese_restaurant,461,"http://www.omakasesf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"CHALOS",latin_american_restaurant,459,"http://chalossf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Nippon Curry San Francisco",japanese_restaurant,458,"https://nipponcurry.com/nipponcurrysf?utm_source=google","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Komaaj",persian_restaurant,456,"https://komaaj.com/?utm_source=google","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"The Palm Court at RH San Francisco",restaurant,454,"https://rh.com/sanfrancisco/restaurant","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"7 Adams",fine_dining_restaurant,451,"http://www.7adamsrestaurant.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Miller & Lux Restaurant",steak_house,439,"http://www.millerandluxrestaurant.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Plain Jane",brunch_restaurant,439,"http://www.plainjanesanfrancisco.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Little Joe's Pizza",pizza_restaurant,437,"http://www.littlejoespizzeria.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Little Original Joe's",italian_restaurant,436,"https://www.littleoriginaljoes.com/loj-marina","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Marina Indian Cuisine",restaurant,436,"http://marinaindiancuisine.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Champa Garden Restaurant",restaurant,433,"https://champagardensf.com/","restaurant w/ working site (alcohol-only policy)"
