city,name,primary_type,reviews,rating,action,outcome,website
oakland,"Ashby Eatery",restaurant,43,4.9,hide,no_hh_found,http://www.ashbyeatery.com/
oakland,"East Bay Provisions",restaurant,39,4.3,hide,no_hh_found,https://www.claremontresortandclub.com/dine/east-bay-provisions/
phoenix-central,"Pappadeaux Seafood Kitchen",seafood_restaurant,12212,4.6,hide,no_hh_found,https://pappadeaux.com/
phoenix-central,"Pizzeria Bianco",pizza_restaurant,4836,4.4,hide,no_hh_found,http://www.pizzeriabianco.com/
phoenix-central,"Taco Boy's",mexican_restaurant,4060,4.6,hide,no_hh_found,https://taco-boys.shop/
phoenix-central,"Luci's at the Orchard",restaurant,3671,4.5,hide,no_hh_found,http://www.lucisgoodness.com/
phoenix-central,"Carolina's Mexican Food - Cactus",mexican_restaurant,3614,4.3,hide,no_hh_found,http://www.carolinasmexicanfood.com/
phoenix-central,"Tacos Chiwas",mexican_restaurant,3325,4.5,hide,no_hh_found,http://tacoschiwas.com/
phoenix-central,"Green New American Vegetarian",vegan_restaurant,2877,4.7,hide,no_hh_found,http://greenvegetarian.com/
phoenix-central,"China Chili",chinese_restaurant,2838,4.5,hide,no_hh_found,http://www.chinachilirestaurant.com/
phoenix-central,"Knock Kneed Lobster",seafood_restaurant,2830,4.3,hide,no_hh_found,http://knockkneedlobster.menutoeat.com/
phoenix-central,"Hillstone Restaurant",american_restaurant,2729,4.5,hide,no_hh_found,https://hillstone.com/
phoenix-central,"Gadzooks Enchiladas and Soup",mexican_restaurant,2670,4.5,hide,no_hh_found,http://gadzooksaz.com/
phoenix-central,"Los Reyes De La Torta",mexican_restaurant,2638,4.4,hide,no_hh_found,https://losreyesaz.com/locations/north-phoenix
phoenix-central,"Different Pointe of View",fine_dining_restaurant,2625,4.5,hide,no_hh_found,http://www.tapatiocliffshilton.com/dining/different-pointe-of-view/
phoenix-central,"Pizzeria Bianco",italian_restaurant,2563,4.4,hide,no_hh_found,https://www.pizzeriabianco.com/pizzeria-bianco-town-country
phoenix-central,"Durant's",steak_house,2391,4.6,hide,no_hh_found,https://www.durantsaz.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb
phoenix-central,"Ziggys Magic Pizza Shop",pizza_restaurant,2205,4.5,hide,no_hh_found,http://www.ziggyspizzaphx.com/
phoenix-central,"Blanco Tacos and Tequilas",mexican_restaurant,2164,3.8,hide,no_hh_found,http://blancotacostequila.com/
phoenix-central,"Spinato's Pizzeria and Family Kitchen",italian_restaurant,2081,4.6,hide,no_hh_found,https://www.spinatospizzeria.com/central-phoenix-location
phoenix-central,"Glai Baan",thai_restaurant,1871,4.7,hide,no_hh_found,https://www.glaibaanaz.com/
phoenix-central,"The Tamale Store",mexican_restaurant,1656,4.6,hide,no_hh_found,http://www.thetamalestore.com/
phoenix-central,"Krachai Thai Kitchen",thai_restaurant,1612,4.5,hide,no_hh_found,http://phoenixbestthaifood.com/index.htm
phoenix-central,"Presidio Cocina Mexicana",mexican_restaurant,1587,4.5,hide,no_hh_found,https://www.presidiophx.com/
phoenix-central,"Ace of wingz",chicken_wings_restaurant,1510,4.5,hide,no_hh_found,http://aceofwingz.com/
