reason,name,primary_type,reviews,address,website
out-of-area,"Tucson Soccer Center","sports_complex",53,"7061 N Camino Martin #120, Tucson, AZ 85741, USA","https://www.tucsonsoccercenter.com/"
out-of-area,"Two Hands Corn Dog Restaurant On Ina Road","restaurant",181,"3930 W Ina Rd, Tucson, AZ 85741, USA","https://order.online/store/TWOHANDSCORNDOGSInaRd-28828474?hideModal=true&pickup=true&utm_source=sdk&visitorId=ca2ee19877ba0f637f9987"
out-of-area,"Villa Mexican Food","mexican_restaurant",458,"2840 W Ina Rd Ste 104, Tucson, AZ 85741, USA","http://villamexicanfoodaz.com/"
out-of-area,"Vitality Bowls","restaurant",37,"7090 N Oracle Rd #120, Tucson, AZ 85704, USA","https://vitalitybowls.com/locations/tucson-oracle-acai-bowls/?utm_source=google&utm_medium=gmb&utm_campaign=gmbweblink"
out-of-area,"Viva Burrito Co.","mexican_restaurant",769,"2060 W River Rd, Tucson, AZ 85704, USA","http://vivaburritoco.com/"
out-of-area,"Vivace Restaurant","italian_restaurant",2379,"6440 N Campbell Ave, Tucson, AZ 85718, USA","https://www.vivacetucson.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb"
out-of-area,"Whiskey Roads","bar_and_grill",967,"2290 W Ina Rd, Tucson, AZ 85741, USA","http://www.whiskeyroadstucson.com/"
out-of-area,"Wild Garlic Grill","bar_and_grill",1911,"2870 E Skyline Dr #120, Tucson, AZ 85718, USA","http://www.wildgarlicgrill.com/"
out-of-area,"Wildflower","american_restaurant",1889,"7037 N Oracle Rd, Tucson, AZ 85704, USA","https://www.wildflowertucson.com/locations/tucson-az/?utm_source=Google&utm_medium=Organic&utm_campaign=Maps"
low-signal,"Adis Aguas","restaurant",17,"1439 S 4th Ave, Tucson, AZ 85713, USA","https://adisaguas.com/menu"
low-signal,"Ahmads Kabobs & Shawarma","mediterranean_restaurant",17,"1148 E Broadway Blvd, Tucson, AZ 85719, USA",
low-signal,"Alaine's Green Heart Bakery","vegan_restaurant",9,"4502 N 1st Ave Pavilion 1, Sunday Farmers Market, 4570 N 1st Ave ste 120, Tucson, AZ 85718, USA","https://greenheartbakery.com/"
low-signal,"Antojitos La Chapis","mexican_restaurant",,"786 W Irvington Rd, Tucson, AZ 85714, USA","https://www.instagram.com/la_chapis1301?igsh=MWxyc2dwemlkOGUyOA==&utm_source=qr"
low-signal,"Arizona's Most Famos Chili","restaurant",4,"3000 S Mission Rd, Tucson, AZ 85713, USA",
low-signal,"Asada Patron","restaurant",7,"1439 S 4th Ave, Tucson, AZ 85713, USA","https://asadapatron.com/"
low-signal,"asain 1 buffett","chinese_restaurant",,"5860 N La Cholla Blvd, Tucson, AZ 85704, USA",
low-signal,"Bailey's Artisan Pizza Company","pizza_restaurant",4,"Tucson, AZ 85705, USA",
low-signal,"Big Dawgs Italian Beef 22nd","american_restaurant",,"Pantano Parkview Shopping Center, 8060 E 22nd St, Tucson, AZ 85710, USA",
low-signal,"Biggie Boy BBQ","restaurant",19,"7889 E 22nd St, Tucson, AZ 85710, USA",
low-signal,"Bites on wheels","restaurant",,"138 E Mossman Rd, Tucson, AZ 85706, USA",
low-signal,"BobaKingandWings","filipino_restaurant",2,"2001 S Craycroft Rd, Tucson, AZ 85711, USA",
low-signal,"Bollywood Pizza Company","restaurant",,"6612 E Tanque Verde Rd, Tucson, AZ 85715, USA","https://bollywoodpizzacompany.com/"
low-signal,"Carnitas Michoacan","mexican_restaurant",4,"10256 S Nogales Hwy, Tucson, AZ 85756, USA","https://usmapiqs.org/details/carnitas-michoacan-ChIJRW5"
low-signal,"Casa Vera","mexican_restaurant",,"7265 N La Cholla Blvd, Tucson, AZ 85741, USA",
low-signal,"Che Cafe Empanadas Argentinas","family_restaurant",8,"10940 E Mary Ann Cleveland Way, Tucson, AZ 85747, USA","https://checafeusa.com/"
low-signal,"Chevychon","restaurant",,"E Drexel Rd, S Park Ave, Tucson, AZ 85706, USA",
low-signal,"Ciao Down Kitchen","pizza_restaurant",9,"6781 N Thornydale Rd #261, Tucson, AZ 85741, USA",
low-signal,"Ciscos Locos Tacos","restaurant",,"1402 E Manlove St, Tucson, AZ 85719, USA",
low-signal,"Cocina Del Cielo","restaurant",,"1925 W River Rd, Tucson, AZ 85704, USA",
low-signal,"Cook Alchemy LLC","restaurant",,"1702 N Stone Ave, Tucson, AZ 85705, USA","http://cookalchemy.com/"
low-signal,"Courtside Kitchen","restaurant",1,"4001 N Country Club Rd, Tucson, AZ 85716, USA","https://www.centercourtbarandgrill.com/"
low-signal,"Craft Culinary Concepts at Reid Park Zoo","restaurant",,"3400 E Zoo Ct, Tucson, AZ 85716, USA",
low-signal,"D'KUTSILYO FILIPINO RESTAURANT","filipino_restaurant",14,"2938 E 22nd St, Tucson, AZ 85713, USA","https://dkutsilyo-filipino-restaurant.com/"
low-signal,"Desert Farmer","restaurant",19,"2727 W Club Dr, Tucson, AZ 85742, USA","https://www.omnihotels.com/hotels/tucson-national/dining/desert-farmer?utm_source=gmblisting&utm_medium=organic"
low-signal,"Dominick's Dinning Room","pizza_restaurant",3,"8330 N Thornydale Rd #150, Tucson, AZ 85741, USA",
low-signal,"Don Ribs BBQ","barbecue_restaurant",7,"4100 S Palo Verde Rd, 11 S 6th Ave, Tucson, AZ 85714, USA","https://www.donribsbbq.com/"
low-signal,"Eatgypt","vegan_restaurant",7,"4502 N 1st Ave, Tucson, AZ 85718, USA","http://www.eatgypt.com/"
low-signal,"Edna's Eatery","american_restaurant",8,"2150 N Alvernon Way, Tucson, AZ 85712, USA","https://tucsonbotanical.org/visit/cafe/"
low-signal,"Eggroll Masters LLC.","restaurant",,"6918 N Camino Martin, Tucson, AZ 85741, USA","http://linktr.ee/eggrollmasters"
low-signal,"El 501","restaurant",21,"4855 S Park Ave, Tucson, AZ 85714, USA",
low-signal,"El caldero Mexican food","restaurant",11,"5358 S Nogales Hwy, Tucson, AZ 85706, USA",
low-signal,"El Charly Tacos y Carnitas","restaurant",1,"1415 W Miracle Mile, Tucson, AZ 85705, USA","https://www.facebook.com/profile.php?id=61559828245621&mibextid=kFxxJD"
low-signal,"El Encanto Mexican Food","mexican_restaurant",2,"4100 S Palo Verde Rd, Tucson, AZ 85714, USA","https://www.facebook.com/Elencantomexicanfood"
low-signal,"El Gallo de Sinaloa #2","restaurant",9,"9850 S Nogales Hwy, Tucson, AZ 85756, USA","http://orderelgallodesinaloa2.mobile-webview8.com/"
low-signal,"El Golden Taco","mexican_restaurant",17,"Tucson, AZ 85705, USA",
low-signal,"El Mismo","mexican_restaurant",8,"W Drexel Rd &, S Cardinal Ave, Tucson, AZ 85746, USA",
low-signal,"El Perro Loco Hot Dogs","hot_dog_restaurant",18,"2770 W Valencia Rd, Tucson, AZ 85746, USA",
low-signal,"El Sabor Cubano","mexican_restaurant",16,"4025 N Oracle Rd, Tucson, AZ 85705, USA",
low-signal,"El Tapatio","taco_restaurant",4,"4762 S 12th Ave, Tucson, AZ 85714, USA","https://www.facebook.com/profile.php?id=100083691427678"
low-signal,"El Taquito Feliz","mexican_restaurant",13,"189-183 W Pima Mine Rd, Sahuarita, AZ 85629, USA",
low-signal,"El Teo Hot Dogs","mexican_restaurant",2,"5681 S 12th Ave, Tucson, AZ 85706, USA",
low-signal,"Ensenada Seafood","restaurant",,"999 N Swan Rd, Tucson, AZ 85711, USA",
low-signal,"Flory’s Events","restaurant",,"2114 S 6th Ave, Tucson, AZ 85713, USA","https://florysevents.com/"
low-signal,"Gabbrey's Kitchen","african_restaurant",4,"6506 E Brushback Loop, Tucson, AZ 85756, USA",
low-signal,"HarkensAuto","restaurant",,"9225 E Tanque Verde Rd, Tucson, AZ 85749, USA",
low-signal,"Harmon Hospitality Group","restaurant",,"2800 W Broadway Blvd apt 5111, Tucson, AZ 85745, USA",
low-signal,"Hot Dogs El Chipilon","restaurant",7,"Tucson, AZ 85746, USA",
low-signal,"Hotel las palmas","chicken_restaurant",,"Tucson, AZ 85706, USA",
low-signal,"Imad Habibi Food","restaurant",23,"3050 E 36th St, Tucson, AZ 85713, USA","https://www.imadhabibifood.com/"
low-signal,"Issabelle's BD","family_restaurant",,"2850 W Ina Rd, Tucson, AZ 85741, USA",
low-signal,"JC SUSHI","mexican_restaurant",3,"2202 W Drexel Rd, Tucson, AZ 85746, USA",
low-signal,"Jizo","ramen_restaurant",2,"6878 E Sunrise Dr Suite 150, Tucson, AZ 85750, USA",
low-signal,"Juaritoz","taco_restaurant",,"3691 E Earp Blvd, Tucson, AZ 85706, USA",
low-signal,"JV Tacos Y Hot Dogs","mexican_restaurant",10,"6308 S Nogales Hwy, Tucson, AZ 85706, USA",
low-signal,"Kai Nutrition Bar","restaurant",4,"1015 W Prince Rd, Tucson, AZ 85705, USA","https://www.instagram.com/kainutrition_?igsh=MTRmbms1aTV5OTRuMw=="
low-signal,"La Azadura Mexican Food","mexican_restaurant",,"16087 S Wilmot Rd, Sahuarita, AZ 85629, USA",
low-signal,"La Freida","mexican_restaurant",2,"Tucson, AZ 85705, USA",
low-signal,"La Jauz","fusion_restaurant",1,"786 W Irvington Rd, Tucson, AZ 85714, USA",
low-signal,"Las Vasquitas Tacos","mexican_restaurant",,"6530 S Camino De Oeste, Tucson, AZ 85746, USA",
low-signal,"Los Ale's Mexican Street Food","mexican_restaurant",2,"5441 E 22nd St, Tucson, AZ 85711, USA",
low-signal,"Luna's Kitchen","mexican_restaurant",9,"1519 S 6th Ave, Tucson, AZ 85713, USA",
low-signal,"Makin' & Doin'","restaurant",,"11172 S Lava Peak Rd, Vail, AZ 85641, USA",
low-signal,"Marc's Blue Smoke BBQ","barbecue_restaurant",6,"Tucson, AZ 85705, USA",
low-signal,"Mariscos To-Go","seafood_restaurant",16,"3420 S 6th Ave, Tucson, AZ 85713, USA","https://www.facebook.com/p/MARISCOS-TO-GO-az-100063510905019/"
low-signal,"Mariskito Tucson","seafood_restaurant",,"5650 S 12th Ave Suite 172B, Tucson, AZ 85706, USA",
low-signal,"MexEats Economy Kitchen and Meat Market","mexican_restaurant",,"2485 N Swan Rd #111, Tucson, AZ 85712, USA","https://www.mexeats.com/"
low-signal,"Mike's Food Co","restaurant",22,"1015 S Park Ave, Tucson, AZ 85719, USA","https://mikesfood.co/"
low-signal,"MJ's Tacos El Rey","restaurant",9,"1915 E Summit St, Tucson, AZ 85756, USA",
low-signal,"MLB Ballpark Bites - CLOSED","american_restaurant",9,"1500 W Grant Rd, Tucson, AZ 85745, USA","https://www.mlb.com/fans/mlb-life/ballpark-bites"
low-signal,"Muncheez","restaurant",21,"4100 S Palo Verde Rd, Tucson, AZ 85714, USA","http://muncheezxxii.com/"
low-signal,"Nathan's Famous","restaurant",24,"628 N 4th Ave, Tucson, AZ 85705, USA","https://nathansfamoustucson.com/"
low-signal,"Nori Japan","japanese_restaurant",15,"4500 N Oracle Rd Suite FC02, Tucson, AZ 85705, USA","https://www.tucsonmall.com/en/directory/13030/"
